Agency,count
กรุงเทพมหานคร,770
เพื่อนชัชชาติ,360
เขตบางนา,86
เขตปทุมวัน,79
เขตลาดกระบัง,51
กองบัญชาการตำรวจนครบาล (บช.น.),50
สำนักงานตำรวจแห่งชาติ (Royal Thai Police),50
เขตดินแดง,49
เขตราษฎร์บูรณะ,47
กรมทางหลวง,44
แขวงทางหลวงธนบุรี กรมทางหลวง,38
กรุงเทพโปร่งใส,35
เขตบางแค,34
องค์การขนส่งมวลชนกรุงเทพ (ขสมก.),34
การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.),30
สำนักสิ่งแวดล้อม กทม.,30
ร้องทุกข์ กทม. 1555,30
เขตราชเทวี,28
การไฟฟ้านครหลวง MEA,28
เขตพระนคร,27
เขตวัฒนา,27
ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง,26
เขตบางกะปิ,24
สำนักการโยธา กทม.,23
สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200),21
เขตดอนเมือง,21
เขตบางรัก,21
เขตวังทองหลาง,20
เขตสวนหลวง,20
ฝ่ายโยธา เขตบางนา,18
เขตจตุจักร,18
ฝ่ายโยธา เขตวัฒนา,18
เขตป้อมปราบศัตรูพ่าย,17
สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),17
เขตธนบุรี,16
ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย,15
กองบังคับการตำรวจนครบาล 9 (บก.น.9),14
เขตมีนบุรี,14
กรมทางหลวงชนบท กระทรวงคมนาคม,14
เขตบางขุนเทียน,13
เขตจอมทอง,13
กองบังคับการตำรวจนครบาล 3 (บก.น.3),11
เขตหลักสี่,11
เขตภาษีเจริญ,11
เขตทวีวัฒนา,10
เขตตลิ่งชัน,10
สำนักการระบายน้ำ กทม.,10
เขตพระโขนง,10
กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี),9
ปัญหาที่ต้องแก้เชิงนโยบาย,9
เขตสัมพันธวงศ์,9
กระทรวงการท่องเที่ยวและกีฬา,8
ผอ.เขตลาดกระบัง (นายธนะสิทธิ์),8
เขตประเวศ,8
เขตคลองเตย,8
เขตห้วยขวาง,7
เขตบางกอกใหญ่,7
การทางพิเศษแห่งประเทศไทย,7
ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง,7
เขตสะพานสูง,7
กรมการขนส่งทางบก,7
ฝ่ายเทศกิจ เขตดินแดง,7
ฝ่ายเทศกิจ เขตลาดกระบัง,7
สน.หลักสอง,6
กองบังคับการตำรวจนครบาล 2 (บก.น.2),6
เขตคลองสามวา,6
การไฟฟ้านครหลวง เขตราษฎร์บูรณะ,6
การไฟฟ้านครหลวง เขตลาดกระบัง,6
การไฟฟ้านครหลวง เขตบางกะปิ,5
กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,5
เขตดุสิต,5
เขตสายไหม,5
สำนักงานตลาดกรุงเทพมหานคร,5
กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร),5
เขตหนองจอก,5
ฝ่ายเทศกิจ เขตปทุมวัน,5
เขตบึงกุ่ม,5
สน.สุทธิสาร,4
สน.ลาดกระบัง,4
เขตบางบอน,4
กองบังคับการตำรวจนครบาล 1 (บก.น.1),4
ฝ่ายเทศกิจ เขตดอนเมือง,4
เขตยานนาวา,4
ฝ่ายโยธา เขตสัมพันธวงศ์,4
ฝ่ายรักษาความสะอาดฯ เขตหลักสี่,4
ฝ่ายสิ่งแวดล้อมฯ เขตวังทองหลาง,4
เขตหนองแขม,4
สำนักงานวิศวกรรมทาง สำนักการโยธา (สวก.สนย.) กทม.,4
กองบังคับการตำรวจนครบาล 6 (บก.น.6),4
สน.ฉลองกรุง,4
สำนักปลัด กทม.,4
การรถไฟแห่งประเทศไทย,4
รองปลัดฯ นายณรงค์ เรืองศรี,3
