ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-7KCZFV,9 ธ.ค. 67,11:32 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตพระนคร แขวงศาลเจ้าพ่อเสือ,"แจ้งเรื่องใหม่ครับอยากให้เจ้าหน้าที่ได้มาดำเนินการแก้ไขปรับปรุงพื้นผิวถนนที่ชำรุดครับสำหรับจุดนี้อยู่หน้าร้านสามมิตร64, 65ถนนอัษฎางค์แขวงศาลเจ้าพ่อเสือเขตพระนคร กทม.ขอบคุณครับ","เขตพระนคร, ฝ่ายโยธา เขตพระนคร, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,11:49 น.,ใช้เวลา 18 นาที,0,,,
DWM7Z6,8 ก.พ. 67,14:38 น.,รอรับเรื่อง 304 วันที่แล้ว,เขตพระนคร แขวงบางขุนพรหม,ปัญหา: หน้าบ้านเลขที่ 42 พบท่อระบายน้ำอุดตัน ไม่สามารถระบายน้ำออกได้ เกรงว่าเวลาฝนตกอาจเกิดน้ำท่วมบ้านและภายในซอยบ้านเลขที่: 42ซอย: เทเวศร์ 1ถนน: กรุงเกษมจุดสังเกต: บริเวณต้นซอยดังกล่าว ซ้ายมือบ้านหลังแรกเขต: พระนคร#1555,"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตพระนคร, เขตพระนคร, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2024-04-20,18:18 น.,ใช้เวลา 72 วัน 3 ชม.,233,,,
สถิติรวม,,,,,,,,,,,,,Median = 116.5,Mean = 116.5,Percentile = 209.70000000000002
