ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-HXARD8,2024-12-09,05:20 น.,รอรับเรื่อง 6 ชั่วโมงที่แล้ว,เขตจอมทอง แขวงบางค้อ,ไฟฟ้าที่สวนสุวรรณานนท์ไม่ติดสองวันแล้วครับ,"เขตจอมทอง, ฝ่ายโยธา เขตจอมทอง, ฝ่ายรักษาความสะอาดฯ เขตจอมทอง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-09,07:03 น.,ใช้เวลา 1 ชม. 43 นาที,0,0,,,
2023-LW6BUR,2023-07-22,22:11 น.,รอรับเรื่อง 505 วันที่แล้ว,เขตจอมทอง แขวงบางมด,ไฟส่องตามทางตามคลองด้านหลังพุทธบูชา คลองลัดขี้เหล็กคลองบางมดอยากให้มีไฟส่องตามคลอง,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตจอมทอง, เขตจอมทอง, การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2023-07-27,23:47 น.,ใช้เวลา 5 วัน 1 ชม.,506,501,,,
สถิติรวม,,,,,,,,,,,,,,Median = 250.5,Mean = 250.5,Percentile = 450.90000000000003
