ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2022-HA749Y,28 มิ.ย. 65,08:49 น.,รอรับเรื่อง 895 วันที่แล้ว,เขตบางกอกใหญ่,แจ้งเรื่องป้ายรถเมล์ค่ะตรงบริเวร จรัญสนิทวงศ์ 1 จะมีป้ายรถเมล์ที่ไม่มีใครยืนรอได้เลยค่ะ เพราะเป็นจุดที่แดดส่องแรงมากๆ บริเวรนี้ไม่มีต้นไม้ ไม่มีอาคารที่สร้างกันสาดยืนออกมา เลยไม่มีที่หลบแดดตรงบริเวรป้ายเลยค่ะ ต้องมากระจุกยืนหลบแดดกันอยู่ตรงเสาของรถไฟฟ้า mrt แทน พอจะแก้ไขอะไรได้บ้างไหมคะ,"ขนส่งมวลชน, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตบางกอกใหญ่, กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,เปิดเรื่องใหม่,2022-06-29,19:52 น.,ใช้เวลา 1 วัน 11 ชม.,894,,,
สถิติรวม,,,,,,,,,,,,,Median = 894.0,Mean = 894.0,Percentile = 894.0
