ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2022-DV733T,2022-10-02,18:16 น.,รอรับเรื่อง 798 วันที่แล้ว,เขตบางขุนเทียน,ถนนไม่มีเลนชัดเจน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต), ผอ.เขตบางขุนเทียน (นางภัสรา), การทางพิเศษแห่งประเทศไทย, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2022-11-22,20:23 น.,ใช้เวลา 51 วัน 2 ชม.,799,748,,,
สถิติรวม,,,,,,,,,,,,,,Median = 748.0,Mean = 748.0,Percentile = 748.0
