ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-M4CFUN,2024-12-09,11:02 น.,รอรับเรื่อง 32 นาทีที่แล้ว,เขตดุสิต,ปากซอยศรีย่าน 3 ช่วงเช้าถึงเที่ยงจะมีร้านก๋วยเตี๋ยวมาขาย มีทั้งนั่งกินเป็นกิจลักษณะและยืนซื้อ กีดขวางการจราจร รถเข้าออกลำบากมากๆๆๆๆ จากในรูปรถยนต์กว่าจะสวนกันออกได้ ไหนจะรถเข็นของที่ต้องหลบ ใช้ทางสาธารณะเพื่อประโยชน์ส่วนตนอยากให้มาช่วยดูแลทีหน่วยงานไหนก็ได้จะขอบพระคุณมาก🙏🥹,"เขตดุสิต, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-09,11:02 น.,รอรับเรื่อง,0,0,,,
2024-FAQLAR,2024-08-29,11:15 น.,รอรับเรื่อง 102 วันที่แล้ว,เขตดุสิต แขวงถนนนครไชยศรี,อยากให้มาติดป้ายห้ามจอดรถ บริเวณที่รถจอดอยู่ในรูป เพราะ เข้าออกลำบากมาเป็นเวลานาน และเมื่อเร็วๆนี้รถพยาบาลก็ปฏิเสธที่จะเข้ามารับคนป่วยข้างในซอย เหตุผลจากรถคันนี้ที่จอดขว้างทาง,"สน.สามเสน, เขตดุสิต, กองบังคับการตำรวจจราจร (บก.จร.), สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กองบังคับการตำรวจนครบาล 1 (บก.น.1), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-09,11:22 น.,ใช้เวลา 102 วัน,102,0,,,
2024-L9ZX8G,2024-01-22,05:40 น.,รอรับเรื่อง 322 วันที่แล้ว,เขตดุสิต แขวงสี่แยกมหานาค,จริงๆอยากแจ้ง ขสมก. Gps รถเมล์ล่ม หรือเพี้ยน ตั้งแต่ ต้น มค.จนวันนี้ ดู application via bus ไม่ได้เลยค่ะ,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตดุสิต, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-02-19,11:09 น.,ใช้เวลา 28 วัน 5 ชม.,322,294,,,
2023-82N3Q7,2023-06-18,15:53 น.,รอรับเรื่อง 539 วันที่แล้ว,เขตดุสิต แขวงดุสิต,ทางม้าลายคนข้ามไฟแดงแยกซังฮี้แม้จะไฟเขียวสำหรับคนข้ามถนนได้ จากฝั่งตรงข้ามมาฝั่งมาร์เกตเพลส แต่ยังมีรถเลี้ยวขวามาจากถนนหน้า รพ.วชิร ทำให้อาจเกิดอุบัติเหตุรถชนได้,"สน.สามเสน, เขตดุสิต, สำนักจราจรและขนส่ง, กองบังคับการตำรวจนครบาล 1 (บก.น.1), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-06-29,10:55 น.,ใช้เวลา 10 วัน 19 ชม.,540,529,,,
2022-NEDLW8,2022-06-19,11:27 น.,รอรับเรื่อง 904 วันที่แล้ว,เขตดุสิต,1. อยากได้พื้นที่ทางเดินคืนมา2.(รุปภาพตามแนบ)3.บริเวณสถานีรถไฟสามเสน,"สำนักการโยธา กทม., การรถไฟแห่งประเทศไทย, กรุงเทพมหานคร, เขตดุสิต, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2022-08-22,15:11 น.,ใช้เวลา 64 วัน 3 ชม.,904,840,,,
สถิติรวม,,,,,,,,,,,,,,Median = 294.0,Mean = 332.6,Percentile = 715.6
