ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-LGE6E3,9 ธ.ค. 67,14:03 น.,รอรับเรื่อง 5 นาทีที่แล้ว,เขตธนบุรี แขวงวัดกัลยา,รถจักรยานยนต์วิ่งและจอดเต็มฟุตบาทแจ้งกี่ที่ก็เหมือนเดิม,"เขตธนบุรี, ฝ่ายเทศกิจ เขตธนบุรี, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,14:04 น.,ใช้เวลา 2 นาที,0,,,
2024-NPFRYT,9 ธ.ค. 67,13:40 น.,รอรับเรื่อง 28 นาทีที่แล้ว,เขตธนบุรี แขวงบางยี่เรือ,มอเตอร์ไซค์จอดบนทางเท้าหน้าบ้านตัวเองก่อนถึงโรงเรียนจรวยพรเทศกิจมาไล่ออกมอเตอร์ไซค์ไปจอดในบ้านตัวเองด้วยฅ่ะผู้แจ้งนางวรรณี ตรีตรง,"เขตธนบุรี, ฝ่ายเทศกิจ เขตธนบุรี, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,13:42 น.,ใช้เวลา 2 นาที,0,,,
2024-4ZRG8B,17 ม.ค. 67,13:29 น.,รอรับเรื่อง 327 วันที่แล้ว,เขตธนบุรี แขวงดาวคะนอง,รถเมล์ขับไม่เหมาะสมขับปาดแล้วพอบีบแตรเตือนมีการแสดงพฤติกรรมไม่เหมาะสมขับเอนไปมาทำเหมือนจะชน,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,2024-01-18,07:28 น.,ใช้เวลา 18 ชม.,326,,,
PWYUGT,26 ธ.ค. 66,12:54 น.,รอรับเรื่อง 349 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ปัญหา: พบถนนขรุขระไม่เสมอกัน เกิดจากการก่อสร้างสถานีรถไฟฟ้าถนน: สมเด็จพระเจ้าตากสินจุดสังเกต: ตั้งแต่ถนนหน้าโรงพยาบาลพระปิ่นเกล้า งบริเวณซอยสมเด็จพระเจ้าตากสิน 20 ไปจนถึง ซอยสมเด็จพระเจ้าตากสิน 22เขต: ธนบุรี#1555,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ถนน,เปิดเรื่องใหม่,2024-01-05,10:14 น.,ใช้เวลา 9 วัน 21 ชม.,339,,,
2023-DUCVDG,16 ก.ค. 66,01:22 น.,รอรับเรื่อง 512 วันที่แล้ว,เขตธนบุรี แขวงตลาดพลู,ร้านday off เปิดเพลงเสียงดัง ตอนตี1,"สน.ตลาดพลู, เขตธนบุรี, กองบังคับการตำรวจนครบาล 8 (บก.น.8), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), เพื่อนชัชชาติ, กรุงเทพมหานคร",เสียง,เปิดเรื่องใหม่,2023-07-22,11:22 น.,ใช้เวลา 6 วัน 10 ชม.,506,,,
2023-MXUCFN,14 ก.ค. 66,11:09 น.,รอรับเรื่อง 514 วันที่แล้ว,เขตธนบุรี,ช่วยลงดู การก่อสร้างทางรถไฟ สายสีม่วง ตรงถนนตากสินด้วยค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-07-18,14:08 น.,ใช้เวลา 4 วัน 2 ชม.,510,,,
2023-DFKNN4,6 ก.ค. 66,16:24 น.,รอรับเรื่อง 521 วันที่แล้ว,เขตธนบุรี แขวงสำเหร่,จักรยานเข็นบนฟุตบาทเกือบจะไม่ได้ และไม่มีทางเลี่ยงเส้นทางอื่นได้เลย ขอความช่วยเหลือจากหน่วยงานที่เกี่ยวข้องค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-07,10:37 น.,ใช้เวลา 18 ชม. 14 นาที,521,,,
2023-BHARRX,21 มิ.ย. 66,08:21 น.,รอรับเรื่อง 537 วันที่แล้ว,เขตธนบุรี,ไฟริมทางเดินหน้าโรงเรียนมณีวิทยาดับอีกแล้วครับ ก่อนหน้านี้เคยมาแก้ไขแล้ว 1 ครั้ง,"เขตธนบุรี, กรมทางหลวงชนบท กระทรวงคมนาคม, การไฟฟ้านครหลวง เขตยานนาวา, Bangkok Smart Lighting (สำนักการโยธา กทม.), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,ส่งต่อ,2024-10-16,10:52 น.,ใช้เวลา 483 วัน 2 ชม.,54,,,
2023-CAKRCC,22 พ.ค. 66,06:26 น.,รอรับเรื่อง 567 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ตัวหนังสือที่ป้ายบอกทางเลือนจนอ่านไม่ได้ รบกวนแก้ไข,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-07-27,22:07 น.,ใช้เวลา 66 วัน 15 ชม.,501,,,
2023-B2EBD3,11 พ.ค. 66,19:17 น.,รอรับเรื่อง 577 วันที่แล้ว,เขตคลองสาน แขวงสมเด็จเจ้าพระยา,ช่องทางจราจรบริเวณถนนประชาธิปกตัดกับถนนอิสรภาพ ซึ่งกำลังทำรถไฟฟ้าอยู่ ช่องทางจราจรเลนขวาสุดมีขนาดเล็กมาก,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-05-12,16:03 น.,ใช้เวลา 20 ชม. 47 นาที,577,,,
