ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2022-4KGDL7,10 ส.ค. 65,06:53 น.,รอรับเรื่อง 852 วันที่แล้ว,เขตดินแดง,นั่งกินเหล้าขวางทางเท้าเวลาเช้า ทุกวัน,"สน.สุทธิสาร, ฝ่ายเทศกิจ เขตดินแดง, เขตดินแดง, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 1 (บก.น.1), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-25,09:04 น.,ใช้เวลา 15 วัน 2 ชม.,837,,,
2022-PBM3A8,1 ก.ค. 65,13:43 น.,รอรับเรื่อง 892 วันที่แล้ว,เขตดินแดง,ร้านขายอาหารตั้งของขายบนฟุตบาท ตรงนั้นเป็นโค้งถนนแคบมาก ประชาชนต้องลงไปเดินบนถนน เสี่ยงที่จะโดนรถยนต์ และรถเมล์เฉี่ยว,"ฝ่ายเทศกิจ เขตดินแดง, เขตดินแดง, กรุงเทพมหานคร, เพื่อนชัชชาติ,",ทางเท้า,เปิดเรื่องใหม่,2022-07-06,10:30 น.,ใช้เวลา 4 วัน 20 ชม.,887,,,
2022-DF4X8V,22 มิ.ย. 65,23:03 น.,รอรับเรื่อง 900 วันที่แล้ว,เขตดินแดง,รถเข้าออกไม่ได้ ผู้รับผิดชอบคือการเคหะดินแดง เคยแจ้งมาแล้วแต่ยังไม่มีความคืบหน้า รถจอดขวางทางเข้าออก เดือนร้อน เพราะเข้าออกไม่ได้มาเกือบเดือนแล้ว,"ฝ่ายเทศกิจ เขตดินแดง, เขตดินแดง, กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,เปิดเรื่องใหม่,2022-06-30,07:53 น.,ใช้เวลา 7 วัน 8 ชม.,893,,,
สถิติรวม,,,,,,,,,,,,,Median = 887.0,Mean = 872.3333333333334,Percentile = 891.8
