ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-WZANQL,5 ธ.ค. 67,19:13 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-05,19:13 น.,รอรับเรื่อง,4,,,
2024-FYEEBC,5 ธ.ค. 67,16:34 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-05,16:34 น.,รอรับเรื่อง,4,,,
2024-L4PW7N,5 ธ.ค. 67,16:23 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตพระนคร แขวงพระบรมมหาราชวัง,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-05,16:23 น.,รอรับเรื่อง,4,,,
2024-3X7MU6,4 ธ.ค. 67,23:47 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตบางกอกใหญ่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,23:47 น.,รอรับเรื่อง,5,,,
2024-4K2RKY,4 ธ.ค. 67,18:17 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,18:17 น.,รอรับเรื่อง,5,,,
2024-4CF2MA,4 ธ.ค. 67,08:49 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,08:49 น.,รอรับเรื่อง,5,,,
2024-PDCWQW,4 ธ.ค. 67,07:05 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตจตุจักร แขวงลาดยาว,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,07:05 น.,รอรับเรื่อง,5,,,
2024-9QB4HK,4 ธ.ค. 67,04:42 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,04:42 น.,รอรับเรื่อง,5,,,
2024-67VE2N,3 ธ.ค. 67,03:53 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตคลองสาน แขวงคลองสาน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-03,03:53 น.,รอรับเรื่อง,6,,,
2024-A9WZAQ,2 ธ.ค. 67,04:09 น.,รอรับเรื่อง 7 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,เปิดเรื่องใหม่,2024-12-05,04:23 น.,ใช้เวลา 3 วัน,4,,,
2024-8Y9ZPP,1 ธ.ค. 67,13:51 น.,รอรับเรื่อง 8 วันที่แล้ว,เขตธนบุรี,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-01,13:52 น.,รอรับเรื่อง,8,,,
2024-66WY37,30 พ.ย. 67,07:54 น.,รอรับเรื่อง 9 วันที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-11-30,07:54 น.,รอรับเรื่อง,9,,,
2024-ABMCUW,30 พ.ย. 67,07:02 น.,รอรับเรื่อง 9 วันที่แล้ว,เขตบางกะปิ แขวงคลองจั่น,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-11-30,07:02 น.,รอรับเรื่อง,9,,,
2024-7XL33Q,30 พ.ย. 67,04:31 น.,รอรับเรื่อง 9 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,เปิดเรื่องใหม่,2024-12-05,04:23 น.,ใช้เวลา 4 วัน 23 ชม.,4,,,
2024-36BLK9,29 พ.ย. 67,15:23 น.,รอรับเรื่อง 9 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-11-29,15:23 น.,รอรับเรื่อง,10,,,
2024-6RNZTP,31 ต.ค. 67,11:26 น.,รอรับเรื่อง 39 วันที่แล้ว,เขตจตุจักร แขวงจตุจักร,ไม่แสดงรายละเอียด,"สำนักงานตลาดกรุงเทพมหานคร, กรุงเทพโปร่งใส",ทุจริต,เปิดเรื่องใหม่,2024-12-09,12:39 น.,ใช้เวลา 39 วัน 1 ชม.,0,,,
2024-AGN99V,21 ต.ค. 67,08:26 น.,รอรับเรื่อง 49 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงป้อมปราบ,ไม่แสดงรายละเอียด,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพโปร่งใส, กรุงเทพมหานคร",ทุจริต,เปิดเรื่องใหม่,2024-12-09,08:26 น.,ใช้เวลา 49 วัน,0,,,
2024-KZ37QL,17 ต.ค. 67,09:27 น.,รอรับเรื่อง 53 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-12-01,11:16 น.,ใช้เวลา 45 วัน 1 ชม.,8,,,
2024-B97KB8,17 ต.ค. 67,09:16 น.,รอรับเรื่อง 53 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-12-01,11:17 น.,ใช้เวลา 45 วัน 2 ชม.,8,,,
2024-NX3A6R,7 ก.ย. 67,23:39 น.,รอรับเรื่อง 92 วันที่แล้ว,แขวงดินแดง,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, กองการกีฬา สำนักวัฒนธรรม กีฬา และการท่องเที่ยว",ทุจริต,เปิดเรื่องใหม่,2024-11-19,11:21 น.,ใช้เวลา 72 วัน 11 ชม.,20,,,
2024-GHMXTZ,26 ก.ค. 67,14:36 น.,รอรับเรื่อง 135 วันที่แล้ว,เขตพระนคร,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-07-26,14:36 น.,รอรับเรื่อง,136,,,
2024-93ETBD,25 ก.ค. 67,13:24 น.,รอรับเรื่อง 137 วันที่แล้ว,เขตพระนคร,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-07-25,13:24 น.,รอรับเรื่อง,137,,,
2024-NZKKQQ,24 ก.ค. 67,12:40 น.,รอรับเรื่อง 138 วันที่แล้ว,เขตจตุจักร,ไม่แสดงรายละเอียด,"สน.พหลโยธิน, กรุงเทพโปร่งใส, กองบังคับการตำรวจนครบาล 2 (บก.น.2), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-11-12,11:10 น.,ใช้เวลา 110 วัน 22 ชม.,27,,,
2024-4KG2MF,25 ม.ค. 67,12:57 น.,รอรับเรื่อง 319 วันที่แล้ว,เขตพระนคร,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, ศูนย์ปฏิบัติการติดตามการต่อต้านการทุจริตของ กรุงเทพมหานคร",ทุจริต,เปิดเรื่องใหม่,2024-12-09,09:25 น.,ใช้เวลา 318 วัน 20 ชม.,0,,,
2023-GZNLVC,2 ธ.ค. 66,10:05 น.,รอรับเรื่อง 373 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพโปร่งใส, กรุงเทพมหานคร",ทุจริต,รอรับเรื่อง,2023-12-19,14:47 น.,ใช้เวลา 17 วัน 4 ชม.,356,,,
2023-6TCEBC,25 ต.ค. 66,11:11 น.,รอรับเรื่อง 411 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,เปิดเรื่องใหม่,2024-10-22,07:06 น.,ใช้เวลา 362 วัน 19 ชม.,48,,,
2023-89BKEE,20 ก.ค. 66,12:01 น.,รอรับเรื่อง 508 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรุงเทพโปร่งใส",อื่นๆ,รอรับเรื่อง,2023-07-28,21:44 น.,ใช้เวลา 8 วัน 9 ชม.,500,,,
สถิติรวม,,,,,,,,,,,,,Median = 5.0,Mean = 36.513513513513516,Percentile = 83.19999999999987
