ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-CDK899,9 ธ.ค. 67,11:20 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตสาทร แขวงทุ่งวัดดอน,จอดรถบนทางเท้าบ่อยครั้งมาก,"เขตสาทร, ฝ่ายเทศกิจ เขตสาทร, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,11:29 น.,ใช้เวลา 9 นาที,0,,,
2024-7XB79L,6 ธ.ค. 67,20:58 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตสาทร แขวงทุ่งวัดดอน,มีการจัดงานในพื้นที่ชุมชน ที่มีทั้งหอพัก โรงเรียน มีการใช้เครื่องขยายเสียง ที่ เสียงดังมากๆ เป็นการรบกวนคนในพื้นที่เป็นอย่างมาก แจ้งเรื่องไปเมื่อวาน วันนี้เหมือนประชด เปิดดังกว่าเดิมอีก หลายๆคนทำงานมาเหนื่อยๆก็อยากจะพักผ่อนนะครับ ยังไงต้องขอรบกวนให้ช่วยดำเนินการด้วย ไม่ควรมีการใช้เสียงดังขนาดนี้ ควรจำกัดเวลา และควบคุมการใช้เสียง เด็กเล็กก็นอนไม่หลับ ร้องเสียงดังรบกวนเพื่อนบ้านอีก ยังไงต้องขอความกรุณาทางเจ้าหน้าที่ด้วยนะครับ,"สน.วัดพระยาไกร, ฝ่ายสิ่งแวดล้อมฯ เขตสาทร, เขตสาทร, กองบังคับการตำรวจนครบาล 5 (บก.น.5), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,12:05 น.,ใช้เวลา 1 วัน 15 ชม.,1,,,
สถิติรวม,,,,,,,,,,,,,Median = 0.5,Mean = 0.5,Percentile = 0.9
