ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2022-C6BEFL,26 ก.ค. 65,16:12 น.,รอรับเรื่อง 866 วันที่แล้ว,เขตราษฎร์บูรณะ,ถนนชำรุดก่อนและหลังแยกไฟแดงวัดสน,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2022-07-26,16:12 น.,รอรับเรื่อง,867,,,
2022-AVKRUB,25 ก.ค. 65,20:57 น.,รอรับเรื่อง 867 วันที่แล้ว,เขตราษฎร์บูรณะ,1.เรื่องสะพานลอย บนถนนสุขสวัสดิ์ หน้าซอย รร.บางปะกอก ไม่มีหลังคาบังแดดบังฝน ทั้งๆที่เป็นสะพานลอยที่มี นักเรียนหรือประชาชนคนทั่วไปใช้งานอย่างมาก,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-25,20:57 น.,รอรับเรื่อง,868,,,
2022-6HQP4Y,23 ก.ค. 65,06:57 น.,รอรับเรื่อง 870 วันที่แล้ว,เขตราษฎร์บูรณะ,ยืนรอรถอยู่ที่ป้ายรถเมล์แล้วป้ายหล่นลงมาค่ะ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-23,06:57 น.,รอรับเรื่อง,870,,,
2022-ALWNFR,21 ก.ค. 65,13:09 น.,รอรับเรื่อง 872 วันที่แล้ว,เขตราษฎร์บูรณะ,ป้ายรถโดยสารประจำทางตรงโรงพยาบาลบสงปะกอก1 ฝาท่องที่เป็นเหล็กช่วยทำให้ดีขึ้นหน่อย คนเดินลื่นล้มกันเยอะมาก,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-21,13:09 น.,รอรับเรื่อง,872,,,
2022-KUVN2D,19 ก.ค. 65,16:58 น.,รอรับเรื่อง 873 วันที่แล้ว,เขตราษฎร์บูรณะ,เก้าอี้ บริเวณป้ายรถเมล์ชำรุด,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,2022-07-19,16:58 น.,รอรับเรื่อง,874,,,
2022-AMY23B,18 ก.ค. 65,12:43 น.,รอรับเรื่อง 875 วันที่แล้ว,เขตราษฎร์บูรณะ,ซอยสุขสวัสดิ์ 30 ตรงบริเวณ ก๊วยเต๋ยวเป็ด เจ๊พิม,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,2022-07-18,12:43 น.,รอรับเรื่อง,875,,,
2022-ALKZHP,12 ก.ค. 65,20:16 น.,รอรับเรื่อง 880 วันที่แล้ว,เขตราษฎร์บูรณะ,หน้าโลตัสบางปะกอก..ถนนสุขสวัสดิ์,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-12,20:16 น.,รอรับเรื่อง,881,,,
2022-H2NKXT,11 ก.ค. 65,20:09 น.,รอรับเรื่อง 881 วันที่แล้ว,เขตราษฎร์บูรณะ,ไฟจราจรเลี้ยวขวา แยก ราษฎร์บูรณะดับครับ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2022-07-11,20:09 น.,รอรับเรื่อง,882,,,
2022-4TNW7Y,10 ก.ค. 65,19:46 น.,รอรับเรื่อง 882 วันที่แล้ว,เขตราษฎร์บูรณะ,เลยสามแยกกิโล 9 50 เมตรอยู่ซ้ายมือตรงข้ามด่านเก็บเงินทางด่วน รบกวนมาดูให้หน่อยนะครับ,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2022-07-10,19:46 น.,รอรับเรื่อง,883,,,
2022-EM8WU6,9 ก.ค. 65,10:21 น.,รอรับเรื่อง 884 วันที่แล้ว,เขตราษฎร์บูรณะ,ไฟจราจร ไม่มีตรงทางม้าลาย หน้า รพ ประชาพัฒน์ ราษฎร์บูรณะ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,2022-07-09,10:21 น.,รอรับเรื่อง,884,,,
