ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2022-NEUEXN,2022-06-18,09:37 น.,รอรับเรื่อง 905 วันที่แล้ว,เขตดอนเมือง,ของผมสองวันแล้ว ยังไม่มีคนรับเรื่องเลยครับ,"AOT-DMK, สำนักการโยธา กทม., กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ), ผอ.เขตดอนเมือง (นายสาโรจน์), เขตดอนเมือง, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-08-22,13:59 น.,ใช้เวลา 65 วัน 4 ชม.,905,840,,,
สถิติรวม,,,,,,,,,,,,,,Median = 840.0,Mean = 840.0,Percentile = 840.0
