ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-MYEWCQ,3 ธ.ค. 67,11:20 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,สถานที่ขายบุหรี่ไฟฟ้า ซึ่งผิดกฎหมาย,"สน.สุทธิสาร, เขตจตุจักร, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-03,19:44 น.,ใช้เวลา 8 ชม. 25 นาที,6,,,
2024-NZKKQQ,24 ก.ค. 67,12:40 น.,รอรับเรื่อง 138 วันที่แล้ว,เขตจตุจักร,ไม่แสดงรายละเอียด,"สน.พหลโยธิน, กรุงเทพโปร่งใส, กองบังคับการตำรวจนครบาล 2 (บก.น.2), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-11-12,11:10 น.,ใช้เวลา 110 วัน 22 ชม.,27,,,
2022-774QD2,6 ก.ย. 65,08:26 น.,รอรับเรื่อง 825 วันที่แล้ว,เขตจตุจักร,ร้องเรียน,"กลุ่มงานสัญญาณไฟจราจร สวจ.สจส., สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), สน.พหลโยธิน, กองบังคับการตำรวจนครบาล 2 (บก.น.2), กองบัญชาการตำรวจนครบาล (บช.น.), สำนักงานตำรวจแห่งชาติ (Royal Thai Police)",ถนน,เปิดเรื่องใหม่,2023-03-29,09:05 น.,ใช้เวลา 204 วัน,621,,,
2022-CLM22E,11 ก.ค. 65,12:34 น.,รอรับเรื่อง 882 วันที่แล้ว,เขตห้วยขวาง,วินนักชอบมาหาเรื่องแกรปวินที่มารับหรือบางทีเพื่อนมารับก็จะโดนด้วย,"สน.สุทธิสาร, ฝ่ายเทศกิจ เขตห้วยขวาง, เขตห้วยขวาง, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-23,12:37 น.,ใช้เวลา 43 วัน,839,,,
2022-BXQVFD,22 มิ.ย. 65,21:12 น.,รอรับเรื่อง 900 วันที่แล้ว,เขตห้วยขวาง,ร้านอาหารปล่อยให้ลูกค้าจอดรถริมถนน. กีดขวางการเข้า-ออก ซอย,"สน.สุทธิสาร, สน.ห้วยขวาง, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กองบัญชาการตำรวจนครบาล (บช.น.), ฝ่ายเทศกิจ เขตห้วยขวาง, เขตห้วยขวาง, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2022-08-11,21:38 น.,ใช้เวลา 50 วัน,851,,,
2022-LZ9EK4,22 มิ.ย. 65,17:22 น.,รอรับเรื่อง 900 วันที่แล้ว,เขตบางเขน,รถฝ่าไฟแดงจากซอยแฟตตำรวจข้างเพลินนารี่มอลล์ มีรูปถ่ายคุณบอกไม่ชัดเจน เดี๋ยวผมลองไปถ่ายให้ชัดกว่านี้ แต่ยังคิดไม่ออกว่าไม่ชัดเจนตรงไหนครับ คะแนนไม่ต้องพูดถึ,"สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กองบัญชาการตำรวจนครบาล (บช.น.), สน.คันนายาว, กรุงเทพมหานคร, เขตบางเขน, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-06-27,18:40 น.,ใช้เวลา 5 วัน 1 ชม.,896,,,
สถิติรวม,,,,,,,,,,,,,Median = 730.0,Mean = 540.0,Percentile = 873.5
