ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-7LRC2Q,2024-12-06,12:58 น.,รอรับเรื่อง 17 นาทีที่แล้ว,เขตหลักสี่ แขวงตลาดบางเขน,วินมอเตอร์ไซค์รับจ้างจอดเส้นขาวแดง,"เขตหลักสี่, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:58 น.,รอรับเรื่อง,0,0
2024-DREN4N,2024-12-06,11:44 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตหลักสี่ แขวงทุ่งสองห้อง,หมู่บ้านโกลเด้นทาว์ลวิภาวดีแจ้งวัฒนะมีกิ่งไม้ลุกล้ำเลยเข้ามาในบ้านสมาชิก330ซ.5/1ทำให้มีใบไม้ร่วงเข้ามาในบ้านเยอะเป็นจำนวน,"เขตหลักสี่, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-06,11:44 น.,รอรับเรื่อง,0,0
2024-D3PT8U,2024-12-06,10:40 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,,อาคารผิดพรบ.ใช้ส่วนต่อเติม ชั้นบน ตลอดทั้งชั้นเปิดแอร์ ตลอดคืนวันที่ 5.12.2567 จนถึงวันที่ 6.12.2567เวลา 9.30 น.ยังมีความเย็น ใช้ห้องต่อเติมด้านหลัง.ตลอดคืน ตากผ้าที่ระยะร่น.มีคนอยู่ในอาคาร ประกอบอาหาร ประเภทแกง มีกลิ่นด้านหน้าอาคาร เวลา 9 น.มีความเย็นออกจากอาคาร เวลา 8-9 น. และ 10 - 10.20 น.ช่องเปิด ยังไม่แก้ไขต่างกรรม ต่างวาระยังไม่ได้ดำเนินคดี ปี 2567 คนฝ่าฝืน มากกว่า 1 คน.,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-06,11:04 น.,ใช้เวลา 25 นาที,0,0
2024-BQ9A6K,2024-12-04,14:55 น.,รอรับเรื่อง 1 วันที่แล้ว,,เนื่องด้วยวันนี้ทำความสะอาดข้างรั้วเขตหลักสี่มีเจ้าหน้าที่ของเขตทิ้งขยะและเศษอาหารลงไปในที่ส่วนบุคคลควรแจ้งเจ้าหน้าที่ด้วยเนื่องจากสกปรกมาก,"เขตหลักสี่, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-04,14:55 น.,รอรับเรื่อง,2,2
2022-KBR2AB,2022-12-11,09:51 น.,รอรับเรื่อง 726 วันที่แล้ว,,งานดำเนินการสร้างรถไฟฟ้า ปิดถนนเกือบทั้งหมด บางจุดปิดไว้แต่ก้อยังไม่ได้ทำงานอะไร เมื่อคืนช่วง4ทุ่ม รตติดจากหน้าเมืองทองธานีมาถึงสะพานข้ามแยกหลักสี่เกือบ1ชั่วโมงครึ่ง ควรมีคนเข้าไปดูแลบ้าง ว่าจุดไหนจำเป็นต้องปิด ตรงไหนทำก้อปิดแค่นั้น นี่ปิดเกือบทั้งเส้น ไม่วางแผนการจราจรให้ประชาชน เดือดร้อนมากค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตหลักสี่, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2024-03-26,13:05 น.,ใช้เวลา 471 วัน 3 ชม.,726,255
2022-9UMYK2,2022-08-01,20:32 น.,รอรับเรื่อง 857 วันที่แล้ว,,สถานีหลักสี่รถไฟฟ้าสีชมพู ปิดกั้นทางเท้า ต้องออกไปเดินบนถนน ที่รถวิ่งมาจากด้านหลัง,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตหลักสี่, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2022-09-14,19:43 น.,ใช้เวลา 43 วัน 23 ชม.,858,814
2022-4MEMU3,2022-07-20,14:01 น.,รอรับเรื่อง 869 วันที่แล้ว,,แจ้งเรื่องหม้อแปลงหน้าตึกดำรงแมนชั่นมีควันขึ้นมาหลังจากที่ฝนตกคืนวันที่ 19/7/65 เวลา 20.38 น. กลิ่นคละคลุ้งไปทั่วบริเวณ คนในตึกเดินลงตึกมาดูหาสาเหตุกันไม่เจอแต่มีคนยุชั้น 5 เห็นควันขึ้นที่บริเวณหม้อแปลงใหญ่ รบกวนเจ้าหน้าที่ตรวจสอบด้วยนะคะ เพราะสายไฟส่ยเคเบิ้ลสายอะไรต่างๆ นาๆ เยอะมาและอยู่ใกล้ตึกค่ะ,"การไฟฟ้านครหลวง เขตนนทบุรี, เขตหลักสี่, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-08-23,09:52 น.,ใช้เวลา 33 วัน 19 ชม.,870,836
2022-PETNMZ,2022-06-21,07:15 น.,รอรับเรื่อง 899 วันที่แล้ว,,เขตหลักสี่,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตหลักสี่, การรถไฟแห่งประเทศไทย, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-26,09:03 น.,ใช้เวลา 66 วัน 1 ชม.,899,833
2022-MEBCAD,2022-06-06,11:36 น.,รอรับเรื่อง 914 วันที่แล้ว,,ไฟไม่ติด,"การไฟฟ้านนทบุรี, เขตหลักสี่, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,2022-06-06,11:36 น.,รอรับเรื่อง,914,914
