ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-GLL7X9,2024-12-06,11:41 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,มีผู้ขับขี่รถจักรยานยนต์บนทางเท้า เมื่อวันพุธที่ 4 ธันวาคม เวลา 17.53,"เขตคลองเตย, ฝ่ายเทศกิจ เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,11:54 น.,ใช้เวลา 14 นาที,0,0
2024-9XACCX,2024-12-06,08:32 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตคลองเตย,คนขอทาน,"เขตคลองเตย, ฝ่ายเทศกิจ เขตคลองเตย, กรุงเทพมหานคร",คนเร่ร่อน,รอรับเรื่อง,2024-12-06,10:00 น.,ใช้เวลา 1 ชม. 29 นาที,0,0
2024-GWECRH,2024-12-06,06:33 น.,รอรับเรื่อง 6 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงคลองเตย,ก็ยังมาจอดทุกเช้า ย้ำว่าทุก “เช้า” 6.00-7.00 น. มาตรวจสี่ทุ่มเหมือนเคสก่อนหน้า คุณไม่เจอแน่นอนครับ,"เขตคลองเตย, ฝ่ายเทศกิจ เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,09:58 น.,ใช้เวลา 3 ชม. 25 นาที,0,0
2024-FBWNPK,2024-12-04,00:12 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตคลองเตย แขวงคลองเตย,ปล่อยให้มีรถพ่วงมอไซค์ขายผลไม้และอื่นๆมาขายทุกวันไม่ยึดรถเข็นทำให้มีการขายประจำทำให้รถติดถนนสกปรกและลื่นและที่สำคัญรถติด,"ฝ่ายเทศกิจ เขตคลองเตย, เขตคลองเตย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-06,12:35 น.,ใช้เวลา 2 วัน 12 ชม.,2,0
2024-6WM844,2024-12-04,00:08 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตคลองเตย แขวงคลองเตย,ปล่อยให้มีรถมาขายของทุกวันช่วงเที่ยงถึงมืดบางจุดในซอยสุขุมวิท22ขายตั้งแต่6โมงเช้าถึงสามสี่ทุ่ม,"ฝ่ายเทศกิจ เขตคลองเตย, เขตคลองเตย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-06,12:38 น.,ใช้เวลา 2 วัน 12 ชม.,2,0
2024-NTYZEV,2024-12-03,17:16 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตคลองเตย แขวงคลองเตย,ปล่อยให้มีร้านขายของทุกวันเวลาบ่ายๆถึงค่ำไม่มีการจัดการยึดรถสักทีแจ้งหลายรอบจนเบื่อ,"ฝ่ายเทศกิจ เขตคลองเตย, เขตคลองเตย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-06,12:39 น.,ใช้เวลา 2 วัน 19 ชม.,3,0
2024-NEKKFU,2024-12-03,16:23 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตคลองเตย แขวงคลองตัน,ไหนบอกจะจัดการไม่ให้มีการขายแต่นี่มีขายทุกวันเกะกะถนนและทางเท้า,"ฝ่ายเทศกิจ เขตคลองเตย, เขตคลองเตย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-06,12:33 น.,ใช้เวลา 2 วัน 20 ชม.,3,0
