ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-3EGYDB,2024-12-09,07:35 น.,รอรับเรื่อง 56 นาทีที่แล้ว,เขตบางกอกใหญ่,งานก่อสร้างทางเท้าวางเหล็กเส้นอันตรายต่อคนเดินเท้า,"เขตบางกอกใหญ่, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,07:35 น.,รอรับเรื่อง,0,0
2024-47MLMR,2024-12-09,06:19 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,คนงาน มีการศึกษาไหมว่าที่จุดวาง วางกองของได้หรือไม่ จนท.ไม่คิดสั่งสอนหน่อยหรอ,"เขตบางกอกใหญ่, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-09,06:19 น.,รอรับเรื่อง,0,0
2024-MGCEFD,2024-12-08,22:57 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,มีปัญหาเรื่องการจอดรถ ริมถนนในซอย จอดกันเต็ม บางคัาจอดตาย บางคันช่วงเวลาไหนไม่จอดก็จะหาอะไรมากีดขวาง เพื่อกักที่จอดรถ ไว้ ทำเสมือนที่จอดรถส่วนตัว ทำให้รถสวนกันลำบาก และทำให้รถที่บางคันมาทำธุระแปปเดียว ไม่ได้จอดนาน ไม่มีที่จอด,"เขตบางกอกใหญ่, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,22:57 น.,รอรับเรื่อง,1,1
2024-FE9PM2,2024-12-08,16:08 น.,รอรับเรื่อง 16 ชั่วโมงที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,ปัญหายังไม่ได้รับการแก้ไขเหตุการณ์ หนักกว่าเดิม ชื่อร้านกินไก่กัน ร้านอาหารตั้งวงกินเหล้าเปิดเพลงเสียงดังมากทุกวัน มีการเมาแล้วอาละวาดหาเรื่องผู้คน ไม่ปลอดภัย เวลา 23.00 - 3.00 มีเด็กที่ยังไม่บรรลุนิติภาวะอยู่ด้วย ตั้งโต๊ะเก้าอี้ออกมากีดขวางทางเดิน กีดขวางจราจร และ ไม่ให้จอดรถด้านข้างตรงคลองซึ่งเป็นที่สาธารณะ รบกวนช่วยแก้ไขปัญหาอย่างเร่งด่วน,"เขตบางกอกใหญ่, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,16:08 น.,รอรับเรื่อง,1,1
2024-6K27LX,2024-11-25,22:36 น.,รอรับเรื่อง 13 วันที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,ร้านอาหารตั้งวงกินเหล้าเปิดเพลงเสียงดังมากทุกวัน ชื่อร้านกินไก่กัน อิสรภาพ ตั้งโต๊ะออกมากีดขวางจราจร อาจเกิดอุบัติเหตุ กีดขวางทางเท้าคนเดิน ไม่ปลอดภัย และ เสียงดังทุกวัน,"ฝ่ายเทศกิจ เขตบางกอกใหญ่, เขตบางกอกใหญ่, กรุงเทพมหานคร",เสียง,เปิดเรื่องใหม่,2024-12-08,16:13 น.,ใช้เวลา 12 วัน 17 ชม.,14,1
2XV9WJ,2023-12-27,17:13 น.,รอรับเรื่อง 347 วันที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,ปัญหา: พบดวงไฟฟ้าส่องสว่างทางดับชำรุด จำนวน 1 ดวง ทำให้บริเวณดังกล่าวมืดมากบ้านเลขที่: 1007/1ซอย: อิสรภาพ 33 ซอย 8ถนน: อิสรภาพ จุดสังเกต: ไฟส่องสว่างทางหน้าบ้านเลขที่ตามที่ระบุ ภายในซอยแยกดังกล่าวเขต: บางกอกใหญ่#1555,"การไฟฟ้านครหลวง เขตธนบุรี, เขตบางกอกใหญ่, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,2024-01-15,20:05 น.,ใช้เวลา 19 วัน 2 ชม.,348,329
2022-HA749Y,2022-06-28,08:49 น.,รอรับเรื่อง 894 วันที่แล้ว,เขตบางกอกใหญ่,แจ้งเรื่องป้ายรถเมล์ค่ะตรงบริเวร จรัญสนิทวงศ์ 1 จะมีป้ายรถเมล์ที่ไม่มีใครยืนรอได้เลยค่ะ เพราะเป็นจุดที่แดดส่องแรงมากๆ บริเวรนี้ไม่มีต้นไม้ ไม่มีอาคารที่สร้างกันสาดยืนออกมา เลยไม่มีที่หลบแดดตรงบริเวรป้ายเลยค่ะ ต้องมากระจุกยืนหลบแดดกันอยู่ตรงเสาของรถไฟฟ้า mrt แทน พอจะแก้ไขอะไรได้บ้างไหมคะ,"ขนส่งมวลชน, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตบางกอกใหญ่, กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,เปิดเรื่องใหม่,2022-06-29,19:52 น.,ใช้เวลา 1 วัน 11 ชม.,895,894
