ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-C4ZYK9,2024-12-09,08:07 น.,รอรับเรื่อง 24 นาทีที่แล้ว,แขวงประเวศ,ตั้งวางสิ่งของ ร่ม แผงค้า กีดขวางทางเท้าเป็นประจำทุกวัน ในช่วงเวลา 06.00 -09.00 น.ร้องเรียนมาหลายครั้งแล้ว เป็นระยะเวลาเกือบ 1 ปี แต่ไม่สามารถแก้ไขได้ซักที ขอส่วนกลางช่วยสั่งการเด็ดขาดมาที่สำนักงานเขตฯและหักคะแนนด้วย หากไม่สามารถดำเนินการแก้ไขได้,"เขตประเวศ, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-09,08:07 น.,รอรับเรื่อง,0,0
2024-NB4DWD,2024-12-09,05:27 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตประเวศ แขวงประเวศ,ไฟแสงสว่างเสาสูงดับไป 3-4 ต้นครับมืดมากอันตราย,"เขตประเวศ, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-09,05:27 น.,รอรับเรื่อง,0,0
2024-6UTMGH,2024-12-08,22:33 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,แขวงประเวศ,ถนนทางเข้าซอยเป็นหลุมเป็นบ่อครับ อยากให้เอายางมะตอยมาเป็นหลุมหน่อยครับ,"เขตประเวศ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,22:33 น.,รอรับเรื่อง,1,1
2024-FGBDDC,2024-12-08,21:54 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,,เหม็นมากครับท่านผู้เจริญแล้วทั้งหลาย ท่านผู้ว่า ท่านรองผู้ว่าครับท่านทั้งหลายที่เกี่ยวข้องออกมาดูแล มาแก้ปัญหาให้ตรงจุดกันหน่อยครับ บ้านที่อยู่แถวนี้ต้องมาสูดดมกลิ่นกันทุกวัน,"เขตประเวศ, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-08,21:54 น.,รอรับเรื่อง,1,1
2024-RNF9FM,2024-12-08,20:28 น.,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,,ไฟที่สวนสาธารณะดับครับ,"เขตประเวศ, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-08,20:28 น.,รอรับเรื่อง,1,1
646TVJ,2024-11-21,10:13 น.,รอรับเรื่อง 17 วันที่แล้ว,เขตประเวศ แขวงหนองบอน,ปัญหา: ภายในซอยแยกดังกล่าว พบ(บ้านไม่ทราบเลขที่)มีการเจียรเหล็กส่งเสียงดังรบกวน พบเห็นวันที่ 21/11/67 สร้างความเดือดร้อนให้กับผู้ร้องเป็นอย่างมากซอย: เฉลิมพระเกียรติ ร. 9 ที่ 39 แยก 6ถนน: เฉลิมพระเกียรติ ร. 9 จุดสังเกต: เข้าไปในซอย 150 เมตร ซ้ายมือ หน้าบ้านจะมีลักษณะคล้ายร้านอาหารเก่าและหน้าบ้านมีสุนัขจำนวนมากเขต: ประเวศ#1555,"ฝ่ายสิ่งแวดล้อมฯ เขตประเวศ, เขตประเวศ, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,2024-12-09,07:34 น.,ใช้เวลา 17 วัน 21 ชม.,18,0
2023-D83NGF,2023-06-25,19:46 น.,รอรับเรื่อง 532 วันที่แล้ว,แขวงประเวศ,คอสะพานทางลงทรุดหนักจนเริ่มแตกหักและพังทำให้รถยนต์ได้รับความเสียหาย,"กรมทางหลวง, เขตประเวศ, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-06-26,14:28 น.,ใช้เวลา 18 ชม. 42 นาที,533,532
2023-BWL6LT,2023-06-04,23:00 น.,รอรับเรื่อง 553 วันที่แล้ว,,พื้นถนนต่างระดับ และชำรุด สร้างความอันตรายให้กับรถยนต์และจักรยานยนต์ที่ผ่านไปมา โดยเฉพาะช่วงฝนตกจะมีน้ำท่วมขังและไม่เห็นว่าถนนต่างระดับ,"กรมทางหลวง, เขตประเวศ, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-06-07,09:51 น.,ใช้เวลา 2 วัน 10 ชม.,554,551
