ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2022-HDNYQM,2022-08-08,06:05 น.,รอรับเรื่อง 854 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอรายละเอียดที่ชัดเจนของเรื่องที่ต้องการแจ้ง 1 ข้อความ ด้วยครับ**งดเว้นการให้ข้อมูลส่วนตัว ทั้งผู้แจ้งและบุคคลที่สาม**,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,2022-08-08,06:05 น.,รอรับเรื่อง,854,854
2022-U3W8HA,2022-08-04,16:50 น.,รอรับเรื่อง 857 วันที่แล้ว,เขตราษฎร์บูรณะ,อยากให้กรุงเทพประสานงานกับกรมทางหลวง เพื่อติดตั้งสัญญาณไฟจราจรบริเวณจุดกลับรถบนถนนสุขสวัสดิ์(จุดกลับรถแรก) เนื่องจากที่ผู้คนใช้เป็นจำนวนมากและมีรถบรรทุกขนาดใหญ่เยอะ (เคยแจ้งกรุงเทพไปแล้วแต่เรื่องเงียบค่ะ),"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-08-04,16:50 น.,รอรับเรื่อง,858,858
2022-DY3VXH,2022-08-04,11:10 น.,รอรับเรื่อง 857 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอรายละเอียดที่ชัดเจนของเรื่องที่ต้องการแจ้ง 1 ข้อความ ด้วยครับ**งดเว้นการให้ข้อมูลส่วนตัว ทั้งผู้แจ้งและบุคคลที่สาม**,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-08-04,11:10 น.,รอรับเรื่อง,858,858
2022-6QEFZ3,2022-08-04,11:08 น.,รอรับเรื่อง 857 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอรายละเอียดที่ชัดเจนของเรื่องที่ต้องการแจ้ง 1 ข้อความ ด้วยครับ**งดเว้นการให้ข้อมูลส่วนตัว ทั้งผู้แจ้งและบุคคลที่สาม**,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,2022-08-04,11:08 น.,รอรับเรื่อง,858,858
2022-78THWB,2022-08-03,11:59 น.,รอรับเรื่อง 858 วันที่แล้ว,เขตราษฎร์บูรณะ,เสาไฟฟ้า หน้าปากซอยสุขสวัสดิ์34 ชำรุดมานานมาก เนื่องจากรถบรรทุกชน,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, เขตราษฎร์บูรณะ, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-08-03,14:23 น.,ใช้เวลา 2 ชม. 24 นาที,859,859
2022-L7LM34,2022-08-02,20:22 น.,รอรับเรื่อง 859 วันที่แล้ว,เขตราษฎร์บูรณะ,ป้ายรถเมวัดสนไฟดับประมาณ 2 อาทิตย์ แล้วค่ะ วีคก่อนแจ้งแล้วก็เงียบ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-08-02,20:22 น.,รอรับเรื่อง,860,860
2022-44EA8Y,2022-08-02,19:56 น.,รอรับเรื่อง 859 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอทางม้าลาย,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2022-08-02,19:56 น.,รอรับเรื่อง,860,860
2022-FKXMEP,2022-08-02,15:17 น.,รอรับเรื่อง 859 วันที่แล้ว,เขตราษฎร์บูรณะ,ช่วยตรวจสอบให้หน่อย,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-08-02,15:17 น.,รอรับเรื่อง,860,860
2022-8DFWTD,2022-07-31,21:28 น.,รอรับเรื่อง 861 วันที่แล้ว,เขตราษฎร์บูรณะ,อยากให้ยกเลิกไฟแดงตรงนี้ เพราะ 2 เลนซ้าย เป็นช่องผ่านตลอดอยู่แล้ว แต่ป้ายเล็กมาก คนที่ไม่คุ้นเส้นทางตรงนี้ก็จะหยุดรถรอไฟแดงกันบ่อย ทำให้รถติด หรือไม่ก็แก้ไข้โดยการทำเกาะเพื่อแบ่ง 2 เลนด้านซ้ายไปเลย จะทำให้รถวิ่งได้สะดวกมากขึ้น เพราะว่ามีรถจำนวนมากที่ออกจากปั๊มน้ำมันด้านซ้ายแล้วมาแทรกเพื่อจะเลี้ยวขวาเลย ทำให้รถทางตรงติด,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-31,21:28 น.,รอรับเรื่อง,862,862
2022-HM27E8,2022-07-29,22:06 น.,รอรับเรื่อง 863 วันที่แล้ว,เขตราษฎร์บูรณะ,ดับมาเป็นอาทิตย์,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-29,22:06 น.,รอรับเรื่อง,864,864
