ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-7THE4Q,2/12/2024,20:05 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงคลองสามประเวศ,มีแผงลอยมาตั้งขายอาหาร และมีรถจอดซื้อช่วงเช้า ทำให้การจราจรติดขัด,"เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2/12/2024,21:47 น.,1,ใช้เวลา 1 ชม. 42 นาที
2024-HB2CDZ,2/12/2024,15:39 น.,1,รอรับเรื่อง 17 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,มากันทางเท้าเหมือนเดิม,"เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2/12/2024,19:33 น.,1,ใช้เวลา 3 ชม. 54 นาที
2024-G9LHGP,23/6/2024,20:37 น.,163,รอรับเรื่อง 162 วันที่แล้ว,เขตลาดกระบัง แขวงทับยาว,ป้ายหาเสียง,"เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,29/8/2024,12:19 น.,96,ใช้เวลา 66 วัน 15 ชม.
2023-FUEACT,7/1/2023,07:34 น.,696,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,รถขนขยะมาทิ้ง ส่งกลิ่นเหม็น ร่วงเกลื่อนถนน ไม่มีการจัดการที่ดีเลย,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:14 น.,696,ใช้เวลา 7 ชม. 40 นาที
2023-BQVMN2,6/1/2023,22:14 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องขยะกลิ่นเหม็นกับแมลงวันไม่ใช่เรื่องของตกหล่นบนถนนกับเรื่องฝุ่นละอองค่ะ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:15 น.,696,ใช้เวลา 17 ชม. 2 นาที
2023-NKTLBR,6/1/2023,22:04 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องกลิ่นขยะเหม็นและแมลงวันครับ ไม่ใช่เรื่องวัสดุตกหล่นบนถนนกับฝุ่นละออง,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:16 น.,696,ใช้เวลา 17 ชม. 12 นาที
2023-A3R7MN,6/1/2023,21:59 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องกลิ่นเหม็นและเป็นแหล่งที่อยู่อาศัยของสัตว์นำโรค ไม่ใช่เรื่องวัสดุตกหล่นบนถนนค่ะ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:18 น.,696,ใช้เวลา 17 ชม. 19 นาที
2023-HALML2,6/1/2023,21:35 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,แจ้งขยะส่งกลิ่นเหม็นและเป็นที่อยู่อาศัยของหนูและแมลงวันจำนวนมากครับ ก่อเกิดมลพิษบริเวณใกล้เคียงเป็นอันตรายกับเด็กเล็กครับ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:19 น.,696,ใช้เวลา 17 ชม. 44 นาที
