ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-BUZLM7,7/7/2024,23:40 น.,149,รอรับเรื่อง 148 วันที่แล้ว,แขวงดอกไม้,ไม่แสดงรายละเอียด,สำนักปลัด กทม.,ทุจริต,รอรับเรื่อง,7/7/2024,23:40 น.,149,รอรับเรื่อง
2023-4T6RKE,26/10/2023,14:20 น.,404,รอรับเรื่อง 403 วันที่แล้ว,แขวงประเวศ,รถขยะชนรถผมแล้วหนีเลย,สำนักปลัด กทม.,ผิดกฎจราจร,รอรับเรื่อง,26/10/2023,14:20 น.,404,รอรับเรื่อง
2023-GFHDPH,6/9/2023,22:55 น.,454,รอรับเรื่อง 453 วันที่แล้ว,แขวงดอกไม้,ไม่แสดงรายละเอียด,"รองปลัดฯ นางวันทนีย์ วัฒนะ, รองปลัดฯ นายชาตรี วัฒนเขจร, รองปลัดฯ นายเฉลิมพล โชตินุชิต, สำนักปลัด กทม.",ทุจริต,รอรับเรื่อง,6/9/2023,22:55 น.,454,รอรับเรื่อง
2023-P3E6GT,13/6/2023,21:56 น.,539,รอรับเรื่อง 538 วันที่แล้ว,เขตจอมทอง แขวงบางมด,ขุดลอกคลอง,สำนักปลัด กทม.,อื่นๆ,รอรับเรื่อง,13/6/2023,21:56 น.,539,รอรับเรื่อง
