ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-NZKKQQ,24/7/2024,12:40 น.,132,รอรับเรื่อง 131 วันที่แล้ว,เขตจตุจักร,ไม่แสดงรายละเอียด,"สน.พหลโยธิน, กรุงเทพโปร่งใส, กองบังคับการตำรวจนครบาล 2 (บก.น.2), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,12/11/2024,11:10 น.,21,ใช้เวลา 110 วัน 22 ชม.
2022-774QD2,6/9/2022,08:26 น.,819,รอรับเรื่อง 819 วันที่แล้ว,เขตจตุจักร,ร้องเรียน,"กลุ่มงานสัญญาณไฟจราจร สวจ.สจส., สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), สน.พหลโยธิน, กองบังคับการตำรวจนครบาล 2 (บก.น.2), กองบัญชาการตำรวจนครบาล (บช.น.), สำนักงานตำรวจแห่งชาติ (Royal Thai Police)",ถนน,เปิดเรื่องใหม่,29/3/2023,09:05 น.,615,ใช้เวลา 204 วัน
2022-CLM22E,11/7/2022,12:34 น.,876,รอรับเรื่อง 875 วันที่แล้ว,เขตห้วยขวาง,วินนักชอบมาหาเรื่องแกรปวินที่มารับหรือบางทีเพื่อนมารับก็จะโดนด้วย,"สน.สุทธิสาร, ฝ่ายเทศกิจ เขตห้วยขวาง, เขตห้วยขวาง, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,23/8/2022,12:37 น.,833,ใช้เวลา 43 วัน
2022-BXQVFD,22/6/2022,21:12 น.,895,รอรับเรื่อง 894 วันที่แล้ว,เขตห้วยขวาง,ร้านอาหารปล่อยให้ลูกค้าจอดรถริมถนน. กีดขวางการเข้า-ออก ซอย,"สน.สุทธิสาร, สน.ห้วยขวาง, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กองบัญชาการตำรวจนครบาล (บช.น.), ฝ่ายเทศกิจ เขตห้วยขวาง, เขตห้วยขวาง, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,11/8/2022,21:38 น.,845,ใช้เวลา 50 วัน
2022-LZ9EK4,22/6/2022,17:22 น.,895,รอรับเรื่อง 894 วันที่แล้ว,เขตบางเขน,รถฝ่าไฟแดงจากซอยแฟตตำรวจข้างเพลินนารี่มอลล์ มีรูปถ่ายคุณบอกไม่ชัดเจน เดี๋ยวผมลองไปถ่ายให้ชัดกว่านี้ แต่ยังคิดไม่ออกว่าไม่ชัดเจนตรงไหนครับ คะแนนไม่ต้องพูดถึ,"สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กองบัญชาการตำรวจนครบาล (บช.น.), สน.คันนายาว, กรุงเทพมหานคร, เขตบางเขน, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,27/6/2022,18:40 น.,890,ใช้เวลา 5 วัน 1 ชม.
