ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-A8EAPB,3/12/2024,08:39 น.,0,รอรับเรื่อง 22 นาทีที่แล้ว,เขตคลองสามวา แขวงสามวาตะวันออก,ถนนฝั่งตรงข้ามโรงเรียน เป็นทางกลับรถ มีหลุมและทางระดับไม่เท่ากัน เด็กๆใช้เป็นทางปั่นจักรยานมา รร,"เขตคลองสามวา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:39 น.,0,รอรับเรื่อง
2024-ENQ2ZP,3/12/2024,08:35 น.,0,รอรับเรื่อง 27 นาทีที่แล้ว,เขตคลองสามวา แขวงสามวาตะวันออก,ถนนกลับรถฝั่งตรงข้าม รร ไม่เท่ากันมีหลุม,"เขตคลองสามวา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:35 น.,0,รอรับเรื่อง
2024-FP3ZG9,3/12/2024,08:22 น.,0,รอรับเรื่อง 39 นาทีที่แล้ว,เขตคลองสามวา แขวงบางชัน,แจ้งเรื่องครั้งที่2 หลังจากได้เคยแจ้งเรื่องนี้แล้ว ว่ามีถังหรือเตาเผากีดขวางทางเดินเท้าในซอยสุเหร่าคลองหนึ่ง 7 เมื่อสัปดาห์ก่อน ปัจจุบันยังไม่ได้มีการดำเนินการแจ้งไข ปรับปรุง แต่ได้มีการแจ้งกลับมาว่าดำเนินการเสร็จแล้วจึงขอแจ้งอีกครั้งหนึ่งลงวันที่3/12/2567ว่ายังไม่มีการดำเนินการแก้ไขเลยจึงขอให้ฝ่ายทีเกี่ยวข้องช่วยดำเนินการแจ้งเจ้าของให้ดำเนินการย้ายออกเพราะกีดขวางการจราจรและทางเดินของชาวบ้านในพื้นที่นี้มาก,"เขตคลองสามวา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,3/12/2024,08:22 น.,0,รอรับเรื่อง
2024-M3YXCU,12/11/2024,00:33 น.,21,รอรับเรื่อง 21 วันที่แล้ว,เขตคลองสามวา แขวงบางชัน,มีการเปิดผับเสียงดังมากก...ทั้งๆ ที่เป็นย่านที่พักอาศัยรบกวนผู้ที่พักอาศัยบริเวณใกล้เคียงรบกวนหน่วยงานที่เกี่ยวข้องเร่งดำเนินการแก้ไขเร่งด่วนด้วยนะคะ,"ฝ่ายสิ่งแวดล้อมฯ เขตคลองสามวา, เขตคลองสามวา, สน.คันนายาว, กรุงเทพมหานคร",สถานบันเทิง,เปิดเรื่องใหม่,2/12/2024,20:25 น.,1,ใช้เวลา 20 วัน 19 ชม.
2022-H4TB42,31/7/2022,12:19 น.,856,รอรับเรื่อง 855 วันที่แล้ว,เขตคลองสามวา,1.เจ้าหน้าที่รักษาความปลอดภัยในสวนสาธรณะบกพร่องต่อหน้าที่,"สำนักสิ่งแวดล้อม กทม., เขตคลองสามวา, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,13/8/2022,20:01 น.,843,ใช้เวลา 13 วัน 7 ชม.
