ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-BKG8XC,2024-12-06,14:49 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตสัมพันธวงศ์,สายสื่อสารหลุดห้อยเยอะมาก อยากให้มาช่วยดูแลหน่อยค่ะ,"เขตสัมพันธวงศ์, ฝ่ายโยธา เขตสัมพันธวงศ์, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-06,15:38 น.,ใช้เวลา 49 นาที,0,0
2024-CWDZLV,2024-12-06,12:26 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตสัมพันธวงศ์ แขวงสัมพันธวงศ์,ตลาดปีระกา,"เขตสัมพันธวงศ์, ฝ่ายโยธา เขตสัมพันธวงศ์, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-06,14:22 น.,ใช้เวลา 1 ชม. 56 นาที,0,0
2024-NL3XMP,2024-12-05,15:47 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตสัมพันธวงศ์ แขวงจักรวรรดิ์,บ้านต่อเติมสร้างทับทางคนเดิน,"เขตสัมพันธวงศ์, ฝ่ายโยธา เขตสัมพันธวงศ์, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-06,00:24 น.,ใช้เวลา 8 ชม. 37 นาที,1,0
2024-3WV62Y,2024-12-03,22:01 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตสัมพันธวงศ์,ซอยเยาวพาณิชย์ ตรงขึ้นมาตรงสี่แยกเล็กๆ ที่ตัดกับซอยวานิช1 มีคนยึดแผงทำตัวเกี่ยวข้างกำแพงออกมาตรงถนนในซอย ซึ่งไม่น่าทำได้เพราะน่าจะกีดขวางทางรถยนต์,"เขตสัมพันธวงศ์, ฝ่ายโยธา เขตสัมพันธวงศ์, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-04,09:14 น.,ใช้เวลา 11 ชม. 13 นาที,3,2
