Agency,count
กรุงเทพมหานคร,604
เพื่อนชัชชาติ,352
เขตบางนา,68
เขตราษฎร์บูรณะ,45
กรมทางหลวง,44
สำนักงานตำรวจแห่งชาติ (Royal Thai Police),40
กองบัญชาการตำรวจนครบาล (บช.น.),40
แขวงทางหลวงธนบุรี กรมทางหลวง,38
เขตลาดกระบัง,38
เขตบางแค,36
องค์การขนส่งมวลชนกรุงเทพ (ขสมก.),34
เขตราชเทวี,32
การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.),30
สำนักสิ่งแวดล้อม กทม.,29
การไฟฟ้านครหลวง MEA,28
ร้องทุกข์ กทม. 1555,27
กรุงเทพโปร่งใส,26
เขตดินแดง,25
เขตวัฒนา,25
เขตปทุมวัน,24
เขตคลองเตย,24
สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200),21
เขตบางรัก,20
เขตหลักสี่,19
เขตจตุจักร,18
เขตวังทองหลาง,18
สำนักการโยธา กทม.,18
สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),16
เขตธนบุรี,16
ฝ่ายเทศกิจ เขตดินแดง,16
กองบังคับการตำรวจนครบาล 9 (บก.น.9),14
เขตมีนบุรี,14
กรมทางหลวงชนบท กระทรวงคมนาคม,14
เขตดอนเมือง,13
ฝ่ายโยธา เขตวัฒนา,13
เขตจอมทอง,12
เขตสวนหลวง,12
เขตตลิ่งชัน,11
เขตบางขุนเทียน,11
ฝ่ายโยธา เขตหลักสี่,11
ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง,10
สำนักการระบายน้ำ กทม.,9
เขตภาษีเจริญ,9
เขตบางกอกใหญ่,9
กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี),9
ผอ.เขตลาดกระบัง (นายธนะสิทธิ์),8
ฝ่ายเทศกิจ เขตลาดกระบัง,8
ปัญหาที่ต้องแก้เชิงนโยบาย,8
เขตทวีวัฒนา,8
กระทรวงการท่องเที่ยวและกีฬา,8
การทางพิเศษแห่งประเทศไทย,7
เขตบึงกุ่ม,7
เขตบางบอน,7
เขตพระนคร,7
เขตห้วยขวาง,7
เขตบางซื่อ,6
กรมการขนส่งทางบก,6
กองบังคับการตำรวจนครบาล 3 (บก.น.3),6
เขตสัมพันธวงศ์,6
ฝ่ายเทศกิจ เขตวัฒนา,6
การไฟฟ้านครหลวง เขตราษฎร์บูรณะ,6
เขตพระโขนง,6
สน.หลักสอง,6
การไฟฟ้านครหลวง เขตลาดกระบัง,6
เขตบางกะปิ,6
กองบังคับการตำรวจนครบาล 2 (บก.น.2),5
ฝ่ายเทศกิจ เขตปทุมวัน,5
กองบังคับการตำรวจนครบาล 1 (บก.น.1),5
เขตสะพานสูง,5
กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,5
เขตบางเขน,5
การไฟฟ้านครหลวง เขตบางกะปิ,5
ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง,5
ฝ่ายโยธา เขตดินแดง,5
เขตคลองสามวา,5
สำนักงานตลาดกรุงเทพมหานคร,5
ฝ่ายเทศกิจ เขตสัมพันธวงศ์,5
เขตหนองจอก,5
กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร),5
สำนักงานวิศวกรรมทาง สำนักการโยธา (สวก.สนย.) กทม.,4
เขตดุสิต,4
สำนักปลัด กทม.,4
เขตประเวศ,4
ฝ่ายโยธา เขตลาดกระบัง,4
ฝ่ายโยธา เขตบางนา,4
ฝ่ายเทศกิจ เขตวังทองหลาง,4
เขตบางกอกน้อย,4
ผอ.เขตปทุมวัน (น.ส.สุขวิชญาณ์),3
กองบังคับการตำรวจนครบาล 8 (บก.น.8),3
กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,3
สน.ลาดกระบัง,3
สน.แสมดำ,3
กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม,3
สน.สุทธิสาร,3
CAT TELECOM (Official),3
การไฟฟ้านครหลวง เขตบางนา,3
การไฟฟ้านครหลวง เขตมีนบุรี,3
สำนักการประปา,3
การรถไฟแห่งประเทศไทย,3
สำนักงานระบบขนส่ง สขส. สจส.,3
ฝ่ายโยธา เขตสะพานสูง,3
รองปลัดฯ นายณรงค์ เรืองศรี,3
เขตหนองแขม,3
กองบังคับการตำรวจนครบาล 7 (บก.น.7),3
ฝ่ายโยธา เขตวังทองหลาง,3
ฝ่ายเทศกิจ เขตห้วยขวาง,3
เขตบางพลัด,3
ศูนย์ปฏิบัติการติดตามการต่อต้านการทุจริตของ กรุงเทพมหานคร,3
กองบังคับการตำรวจนครบาล 6 (บก.น.6),3
ฝ่ายพัฒนาชุมชนฯ เขตบางรัก,3
ยังไม่มีหน่วยงานรับผิดชอบ,2
ฝ่ายโยธา เขตมีนบุรี,2
